Actual,CL,HGLM,HGBM,HXGB,HDNN,HCANN
58258.00,57595.20,57684.34,57955.72,57781.78,60785.52,57254.72
57660.00,57815.88,57726.66,58022.74,57692.86,56875.02,58418.38
57120.00,57343.33,57476.02,57054.42,56987.62,54297.48,58614.26
58109.00,58114.75,58121.56,58715.44,58294.52,60402.00,57876.46
57056.00,56935.60,56866.98,57175.68,56940.08,56737.02,57790.42
57579.00,57914.02,57625.50,57584.36,57435.56,56333.76,57182.68
58630.00,59837.08,58562.24,58506.98,58614.40,57575.04,56502.90
57901.00,57939.66,58078.56,58421.24,58017.18,56494.52,56176.00
57139.00,57337.60,57021.62,57266.94,56909.92,55590.84,56205.00
57889.00,58474.70,58081.94,58112.86,58062.74,59073.16,59206.46
