Actual,CL,HGLM,HGBM,HXGB,HDNN,HCANN
54589.00,53646.82,53595.68,53806.38,53578.60,55052.96,53530.88
54026.00,53781.48,53665.72,53889.74,53647.86,53804.42,53890.56
53435.00,53484.56,53619.04,53589.86,53556.34,53443.18,55095.58
54305.00,54120.45,54058.56,54694.60,54014.54,55729.86,54542.72
53415.00,52827.02,52858.58,53166.48,52851.94,53598.42,53183.88
53569.00,53842.34,54055.94,53923.18,53924.78,53769.80,53968.84
54813.00,54651.87,54900.24,54678.22,54811.76,54607.14,52877.70
54294.00,53987.22,54230.06,54392.78,54216.74,52727.12,53566.30
53443.00,52797.96,52969.84,52997.94,52957.24,52109.14,52032.06
54069.00,53622.25,53943.02,53915.14,53908.66,54102.66,54968.34
