eta,max_depth,min_child_weight,subsample,colsample_bynode,gamma,lambda,alpha,nrounds,xgb_size_total
1,1,100,0.75,1,0,1,0,200,66753522.531792514
1,1,100,0.75,1,0,1,0,225,67158933.0864405
1,1,100,0.75,1,0,1,0,250,67301773.61709613
1,1,100,0.75,1,0,1,0,275,67554900.42764364
