eta,max_depth,min_child_weight,subsample,colsample_bynode,gamma,lambda,alpha,mean_scores,best_nrounds
0.5,3,100,0.85,1,0,1,0,0.5633182,8
0.5,3,100,1,1,0,1,0,0.5633440000000001,7
0.5,3,100,0.6,1,0,1,0,0.5633604,8
0.5,3,100,0.7,1,0,1,0,0.563618,6
0.5,3,100,0.75,1,0,1,0,0.563991,8
0.5,3,100,0.8,1,0,1,0,0.5640484,7
0.5,3,100,0.65,1,0,1,0,0.564293,7
