eta,max_depth,min_child_weight,subsample,colsample_bynode,gamma,lambda,alpha,mean_scores,best_nrounds
0.5,1,100,1,1,0,1,0,1.2318544,128
0.08,1,100,1,1,0,1,0,1.2326082,939
0.1,1,100,1,1,0,1,0,1.233286,673
0.05,1,100,1,1,0,1,0,1.2333582,1000
0.07,1,100,1,1,0,1,0,1.2333798,777
0.06,1,100,1,1,0,1,0,1.233733,998
0.09,1,100,1,1,0,1,0,1.233908,785
1,1,100,1,1,0,1,0,1.2339704,90
0.04,1,100,1,1,0,1,0,1.235451,1000
