eta,max_depth,min_child_weight,subsample,colsample_bynode,gamma,lambda,alpha,mean_scores,best_nrounds
1,1,100,1,1,0,1,0,0.617939,9
1,1,100,0.75,1,0,1,0,0.618027,15
1,1,100,0.85,1,0,1,0,0.6181384,14
1,1,100,0.65,1,0,1,0,0.6182094,15
1,1,100,0.8,1,0,1,0,0.6182556,10
1,1,100,0.6,1,0,1,0,0.6182584,25
1,1,100,0.7,1,0,1,0,0.6184344,10
