eta,max_depth,min_child_weight,subsample,colsample_bynode,gamma,lambda,alpha,mean_scores,best_nrounds
0.05,1,100,0.8,1,0,1,0,1.2503672000000001,729
0.05,1,100,0.75,1,0,1,0,1.2509384,715
0.05,1,100,0.7,1,0,1,0,1.25109,696
0.05,1,100,0.6,1,0,1,0,1.252894,571
0.05,1,100,0.65,1,0,1,0,1.2537084,582
0.05,1,100,0.85,1,0,1,0,1.2543313999999999,616
